ProductNumber,BrandName,BrandTitle,URL,AverageRating,Review
Product 1,Tecno,Tecno Camon 12 Air - PTA Approved - Brand Warranty [11 11 Exclusive],https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128384065-s1287447428.html?search=1,4.8,Today I have received Tecno camon 12 air It's look  is very elegant and it's camera result is Amazing 20000 price mein itni zayda Specs unbelievable yrmein to sb ko Tecno camon 12 air recommend karoo gaMere family or mare saab friends ko bhot pasand aya hai Tecno Camon 12 air I'm very happy Thank you Tecno so muchGaming ky liye bhe best hai mobile Mein easily PUBG enjoy kar ra ho Camon 12 air py aur Bay Blue color to amazing hai Mujy to ab bhe yaqeen nhe a ra ky mujy itni price mein Itna acha mobile mil jaye ga Camon 12 air ky all features kamal ky hain aur 4000 battery and octa core processor bhot kamal kar diya Tecno ny Finger print+Face Unlock 20 ya to or kamal hogia hai❤Yr bhot amazing mobile haiOnce again Thanks Tecno
Product 1,Tecno,Tecno Camon 12 Air - PTA Approved - Brand Warranty [11 11 Exclusive],https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128384065-s1287447428.html?search=1,4.8,i hv just bought Tecno Camon-12 Air from Darazits amazing device with very economical price64+4 octa core fingerprint face unlock AI Triple camera for best result picturesand also got  1000PKR shopping voucher eventually i am love in it
Product 1,Tecno,Tecno Camon 12 Air - PTA Approved - Brand Warranty [11 11 Exclusive],https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128384065-s1287447428.html?search=1,4.8,Just got with in 18 hours Nice packing butt mobile is not a good Fingers scanner in very slow and camera in ok not excellent
Product 1,Tecno,Tecno Camon 12 Air - PTA Approved - Brand Warranty [11 11 Exclusive],https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128384065-s1287447428.html?search=1,4.8,Mobile Received within 15 Hours Fast ServiceI love the appearance of the phone with its awesome camera and a very strong specification in this price range Tecno is rocking
Product 1,Tecno,Tecno Camon 12 Air - PTA Approved - Brand Warranty [11 11 Exclusive],https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128384065-s1287447428.html?search=1,4.8,just received my Camon 12 Air and I must say it's  most amazingly awesome phone in just 20k kamaal k features hain or bohat khubsurat looks hain phone ki octa core processor or punch hole screen I am loving the most 😍highly recommended phone guys!!!😎
Product 2,Tecno Mobile,Tecno Camon 12 Air - 64GB ROM + 4GB RAM - 655 Punch Hole Display,https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128354781-s1287406431.html?search=1,4.7,Very good phone 😍 display and camera also good I like the phone Thanks yellotecno and thanks daraz
Product 2,Tecno Mobile,Tecno Camon 12 Air - 64GB ROM + 4GB RAM - 655 Punch Hole Display,https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128354781-s1287406431.html?search=1,4.7,Awesome mobile Fast Delivery within 24 hours Recommend 🙂
Product 2,Tecno Mobile,Tecno Camon 12 Air - 64GB ROM + 4GB RAM - 655 Punch Hole Display,https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128354781-s1287406431.html?search=1,4.7,It's really good
Product 2,Tecno Mobile,Tecno Camon 12 Air - 64GB ROM + 4GB RAM - 655 Punch Hole Display,https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128354781-s1287406431.html?search=1,4.7,nice Mobile with Affordable price rangebut not resale valuesome Network issue FoundStill E voucher Not Receivedhow can i get e voucher? aslo need Glass protector for this mobile
Product 2,Tecno Mobile,Tecno Camon 12 Air - 64GB ROM + 4GB RAM - 655 Punch Hole Display,https://www.daraz.pk/products/tecno-camon-12-air-64gb-rom-4gb-ram-655-punch-hole-display-i128354781-s1287406431.html?search=1,4.7,"Hotspot doesn't work! Display quality isn't up to the mark Phone comes woth bloatware Bloatware drains battery Device does not come with a standard wallpapers You dont get a good video player in the phone by techno Music player is taken by google Device is heavy unsuitable for those who wear shalwar kameez You don't get email & compass builtin etc Gboard is used which is worse in supporting urdu language in keyboardI would rather prefer ""Meizu phone"" in future than buying techno Techno has to make sure it gives value to the buyers of its device Techno is not worth giving try! Waste of moneytechons HiOs needs improvement!"
Product 3,Gfive,GFIVE King 3 Sim - Huge Battery 3600 mAh - 24  Big Display - 1 Year Warranty - Bluetooth - Camera - Multilanguag,https://www.daraz.pk/products/gfive-king-3-sim-huge-battery-3600-mah-24-big-display-1-year-warranty-bluetooth-camera-multilanguag-i115498717-s1267438413.html?search=1,5,long time battery 3 din easily nikal jaty
Product 3,Gfive,GFIVE King 3 Sim - Huge Battery 3600 mAh - 24  Big Display - 1 Year Warranty - Bluetooth - Camera - Multilanguag,https://www.daraz.pk/products/gfive-king-3-sim-huge-battery-3600-mah-24-big-display-1-year-warranty-bluetooth-camera-multilanguag-i115498717-s1267438413.html?search=1,5,Thank you for your feedback It has always been our pleasure to serve you more better in your shopping needs and We always believe in improving our-self more and more to serve you more better
Product 3,Gfive,GFIVE King 3 Sim - Huge Battery 3600 mAh - 24  Big Display - 1 Year Warranty - Bluetooth - Camera - Multilanguag,https://www.daraz.pk/products/gfive-king-3-sim-huge-battery-3600-mah-24-big-display-1-year-warranty-bluetooth-camera-multilanguag-i115498717-s1267438413.html?search=1,5,
Product 4,Samsung Official,Samsung Galaxy A10s 62  2GB RAM 32GB ROM Dual Sim 1 Year Warranty,https://www.daraz.pk/products/samsung-galaxy-a10s-62-2gb-ram-32gb-rom-dual-sim-1-year-warranty-i124436257-s1282134334.html?search=1,0,
Product 5,Gaesso,Gaesso A10 28  Triple Sim,https://www.daraz.pk/products/gaesso-a10-28-triple-sim-i121788179-s1277686571.html?search=1,0,
Product 6,Xiaomi Redmi,Redmi Note 8 Pro - 6GB/128GB - First 64MP Camera - 4500 mAh,https://www.daraz.pk/products/redmi-note-8-pro-6gb128gb-first-64mp-camera-4500-mah-i127556213-s1289370938.html?search=1,5,Good Product Nice Color No Hands-free and a little pricier as compared to marketOverall great
Product 6,Xiaomi Redmi,Redmi Note 8 Pro - 6GB/128GB - First 64MP Camera - 4500 mAh,https://www.daraz.pk/products/redmi-note-8-pro-6gb128gb-first-64mp-camera-4500-mah-i127556213-s1289370938.html?search=1,5,Thank you very much to Mobile Specialist and Daraz for timely delivered and It was perfect device above my expectations Thank you again and keep it up Keep this trust to all
Product 6,Xiaomi Redmi,Redmi Note 8 Pro - 6GB/128GB - First 64MP Camera - 4500 mAh,https://www.daraz.pk/products/redmi-note-8-pro-6gb128gb-first-64mp-camera-4500-mah-i127556213-s1289370938.html?search=1,5,100% original product under tech sirat warranty I recommend the product
Product 6,Xiaomi Redmi,Redmi Note 8 Pro - 6GB/128GB - First 64MP Camera - 4500 mAh,https://www.daraz.pk/products/redmi-note-8-pro-6gb128gb-first-64mp-camera-4500-mah-i127556213-s1289370938.html?search=1,5,100% Original product looks awesome in Green Completely Satisfied!!!
Product 6,Xiaomi Redmi,Redmi Note 8 Pro - 6GB/128GB - First 64MP Camera - 4500 mAh,https://www.daraz.pk/products/redmi-note-8-pro-6gb128gb-first-64mp-camera-4500-mah-i127556213-s1289370938.html?search=1,5,Product was as described and delivered well on time Thanks
Product 7,OPPO,OPPO Reno 2F Mobile Phone - 653 FHD Display - 8GB RAM - 128GB ROM - Hybrid Dual Sim,https://www.daraz.pk/products/oppo-reno-2f-mobile-phone-653-fhd-display-8gb-ram-128gb-rom-hybrid-dual-sim-i129040587-s1288584749.html?search=1,0,
Product 8,Nokia,Nokia 150 black,https://www.daraz.pk/products/nokia-150-black-i100723125-s1246079194.html?search=1,5,original product recommend 👍👍
Product 8,Nokia,Nokia 150 black,https://www.daraz.pk/products/nokia-150-black-i100723125-s1246079194.html?search=1,5,Satisfied
Product 9,Tecno,Tecno SPARK 4 - 3GB - 32GB - 66 Inch Dot Notch Display,https://www.daraz.pk/products/tecno-spark-4-3gb32gb-652-dot-notch-screen-i123910401-s1281392417.html?search=1,4.7,Looking good to see quality also good I live in UAE and I send this for gift for some one it's good phone in this range
